date | value

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2012-07-06 | 1
2012-07-06 | 2
2012-07-06 | 3
2012-07-06 | 10
2012-07-06 | -1
2012-07-06 | 0
2012-07-06 | 1000
2012-07-06 | 1000.0000000000000000000000000000000000000000000000000000000000000000001
2012-07-06 | 1001
2012-07-06 | 0
2012-07-06 | -0.000000000000000000000000000000000000000000000000000000000000000000001
2009-01-01 | 1
2999-01-01 | 1
2011-01-01 | 
1950-01-01 | 0
1900-01-01 | 0
1899-01-01 | 0
0000-01-01 | 0
0001-02-28 | 0
0001-02-29 | 0
9999-12-31 | 1

2010-08-25 | 1
2010-08-26 | 1
2010-08-28 | 1
2010-08-29 | 1

2010-09-18 | 1
2010-09-19 | 1
2050-09-19 | 10

